id,sno,state,city,format_type,store_code,store_name,company_name,gst_in,state_code,address,superwisor,coordinator,afm,ship_ddress,ship_name,ship_state,ship_gst,costcenter
,1,Telangana,Sangareddy,Smart,2925,Sangareddy,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Degloor Road · Plot No 3, Sy No 205/2, 206/1 Ahmed Nagar Sangareddy, 502001",Sravan kumar,Sravan kumar,Amarender Reddy,"Degloor Road · Plot No 3, Sy No 205/2, 206/1 Ahmed Nagar Sangareddy, 502001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Sangareddy
,2,Telangana,Hyderabad,Digital,8827,Madinaguda,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,", Reliance Digital Madinaguda Hyderabad, Satyanarayan Enclave, NH 9 Madinaguda Hyderabad, Telangana - 500032",Sravan kumar,Sravan kumar,Amarender Reddy,", Reliance Digital Madinaguda Hyderabad, Satyanarayan Enclave, NH 9 Madinaguda Hyderabad, Telangana - 500032",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Hyderabad
,3,Telangana,Hyderabad,Trends Footwear,8149,Madinaguda,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"SM:Azam-9177701328,""Satyanarayana Enclave, Sy.Nos.105 & 106/AA, Madinaguda Village, Serilingampally Mandal & Municipality, Ranga Reddy Dist.",Sravan kumar,Sravan kumar,Amarender Reddy,"SM:Azam-9177701328,""Satyanarayana Enclave, Sy.Nos.105 & 106/AA, Madinaguda Village, Serilingampally Mandal & Municipality, Ranga Reddy Dist.",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Hyderabad
,4,Telangana,Hyderabad,Centro,F1LI,GSM Mall,V Retail Limited,36AACCV9907G1Z2,36,"Miyapur, Hyderabad · Survey No 44/1, Rangareddy, Serilingampally Miyapur Hyderabad, Telangana - 500049",Vijay pramod,Vijay pramod,Amarender Reddy,"Miyapur, Hyderabad · Survey No 44/1, Rangareddy, Serilingampally Miyapur Hyderabad, Telangana - 500049",V Retail Limited,Telangana,36AACCV9907G1Z2,Hyderabad
,5,Telangana,Hyderabad,Fashion Factory,F1XD,Lingampally,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"BF-HYDERABAD-LINGAMPALLY-RAMAC,LINGAMPALLY CROSS ROAD,OP:BHEL MAIN GATE,BESIDE MALLIKARJUNA SERST(HP PETROLPUMP),HYDERABAD-502032",Sravan kumar,Sravan kumar,Amarender Reddy,"BF-HYDERABAD-LINGAMPALLY-RAMAC,LINGAMPALLY CROSS ROAD,OP:BHEL MAIN GATE,BESIDE MALLIKARJUNA SERST(HP PETROLPUMP),HYDERABAD-502032",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Hyderabad
,6,Telangana,Korutla,Smart Point,FR6K,Koratla,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"VLT NO 1-4-200/1,Desai Nagar, Korutla - 505326",M Shivaji,M Shivaji,Amarender Reddy,"VLT NO 1-4-200/1,Desai Nagar, Korutla - 505326",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Korutla
,7,Telangana,Jagityal,Smart Point,FR9I,Jagityal,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Plot-12&13,Mothe,Dharmapuri Bypass Road, Jagityal - 505327",M Shivaji,M Shivaji,Amarender Reddy,"Plot-12&13,Mothe,Dharmapuri Bypass Road, Jagityal - 505327",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Jagityal
,8,Telangana,Hyderabad,Milk Basket DC,TXJA,Patancheru (9008),Qwik Supply Chain Private Limited,36AAACF5232A1ZA,36,"MB Hyderabad,Reliance Retail Limited,""Plot No.11 To 15, Sy No.860 And 861"",""Industrial Development Area,Phase-Iv "",""Patancheru, Medak"",Hyderabad-502319",Sravan kumar,Sravan kumar,Amarender Reddy,"MB Hyderabad,Reliance Retail Limited,""Plot No.11 To 15, Sy No.860 And 861"",""Industrial Development Area,Phase-Iv "",""Patancheru, Medak"",Hyderabad-502319",Qwik Supply Chain Private Limited,Telangana,36AAACF5232A1ZA,Hyderabad
,9,Telangana,Jagityal,Digital,T1JO,Krishna Nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"RRL CDIT- Krishna Nagar, D N 1-2-48 Main Road, Angadi Bazar Jagtiyal Town, Telegana 505327",M Shivaji,M Shivaji,Amarender Reddy,"RRL CDIT- Krishna Nagar, D N 1-2-48 Main Road, Angadi Bazar Jagtiyal Town, Telegana 505327",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Jagityal
,10,Telangana,Medak,Trends Small Town,T80R,Ramayanpet,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"H No 16 32/3 Sy No 71/B Gf & Ff, Siddipet Road, Medak, Ramayampet 502101, TG",Sravan kumar,Sravan kumar,Amarender Reddy,"H No 16 32/3 Sy No 71/B Gf & Ff, Siddipet Road, Medak, Ramayampet 502101, TG",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Medak
,11,Telangana,Hyderabad,Centro Shoes,T9IE,Centro Chandanagar,V Retail Limited,36AACCV9907G1Z2,36,"2-108/A/B PLOT NO 92, SRIRAM NAGAR COLONY,CHANDA NAGAR,HYDERABAD,500050.",Sravan kumar,Sravan kumar,Amarender Reddy,"2-108/A/B PLOT NO 92, SRIRAM NAGAR COLONY,CHANDA NAGAR,HYDERABAD,500050.",V Retail Limited,Telangana,36AACCV9907G1Z2,Hyderabad
,12,Telangana,Hyderabad,Centro Shoes,T9KL,Shoe Store GSM Mall,V Retail Limited,36AACCV9907G1Z2,36,"Unit No. 01 SY No. 99 Part A and SY No.100 Part, Second Floor, GSM MALL CUM MULTIPLEX,Madinaguda, Serilingampally Mandal, Rangareddy, Telangana, 500049",Sravan kumar,Sravan kumar,Amarender Reddy,"Unit No. 01 SY No. 99 Part A and SY No.100 Part, Second Floor, GSM MALL CUM MULTIPLEX,Madinaguda, Serilingampally Mandal, Rangareddy, Telangana, 500049",V Retail Limited,Telangana,36AACCV9907G1Z2,Hyderabad
,13,Telangana,SANGAREDDY,Digital,T9RJ,SANGAREDDY,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Building? Bearing Plot No 3 Covered, By Sy No 205/2206/1 In The Situated At, Sangareddy Town Mandal, SANGAREDDY 502001",Sravan kumar,Sravan kumar,Amarender Reddy,"Building? Bearing Plot No 3 Covered, By Sy No 205/2206/1 In The Situated At, Sangareddy Town Mandal, SANGAREDDY 502001",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,SANGAREDDY
,14,Telangana,Hyderabad,Trends Small Town,TAN2,Chanda nagar,Reliance Projects & Property Management Services Limited,36AAJCR6636B1ZD,36,"Reliance Retail Ltd, Sy No 160/A,Chandanagar, Serilingampalli Mandal, Dist.Rangareddy, Telangana - 500050",Sravan kumar,Sravan kumar,Amarender Reddy,"Reliance Retail Ltd, Sy No 160/A,Chandanagar, Serilingampalli Mandal, Dist.Rangareddy, Telangana - 500050",Reliance Projects & Property Management Services Limited,Telangana,36AAJCR6636B1ZD,Hyderabad
